DateTime,Temperature,Humidity,Wind Speed,consumoEnegertico,Población
05/27/2024 00:00,31,49.00,4,,1230027
05/27/2024 01:00,31,50.00,4,,1230027
05/27/2024 02:00,30,51.00,2,,1230027
05/27/2024 03:00,29,51.00,3,,1230027
05/27/2024 04:00,29,50.00,3,,1230027
05/27/2024 05:00,28,51.00,5,,1230027
05/27/2024 06:00,28,47.00,1,,1230027
05/27/2024 07:00,29,47.00,2,,1230027
05/27/2024 08:00,31,49.00,0,,1230027
05/27/2024 09:00,34,44.00,5,,1230027
05/27/2024 10:00,35,41.00,6,,1230027
05/27/2024 11:00,37,37.00,9,,1230027
05/27/2024 12:00,38,36.00,9,,1230027
05/27/2024 13:00,35,43.00,6,,1230027
05/27/2024 14:00,35,43.00,10,,1230027
05/27/2024 15:00,34,49.00,3,,1230027
05/27/2024 16:00,35,42.00,1,,1230027
05/27/2024 17:00,35,44.00,8,,1230027
05/27/2024 18:00,35,45.00,9,,1230027
05/27/2024 19:00,34,48.00,11,,1230027
05/27/2024 20:00,32,57.00,11,,1230027
05/27/2024 21:00,30,63.00,13,,1230027
05/27/2024 22:00,29,70.00,10,,1230027
05/27/2024 23:00,28,72.00,7,,1230027
05/28/2024 00:00,28,75.00,4,,1230083
05/28/2024 01:00,27,78.00,2,,1230083
05/28/2024 02:00,26,80.00,1,,1230083
05/28/2024 03:00,26,81.00,2,,1230083
05/28/2024 04:00,25,84.00,1,,1230083
05/28/2024 05:00,25,85.00,5,,1230083
05/28/2024 06:00,24,87.00,6,,1230083
05/28/2024 07:00,25,82.00,5,,1230083
05/28/2024 08:00,27,76.00,0,,1230083
05/28/2024 09:00,29,70.00,6,,1230083
05/28/2024 10:00,31,64.00,5,,1230083
05/28/2024 11:00,32,57.00,9,,1230083
05/28/2024 12:00,33,56.00,11,,1230083
05/28/2024 13:00,34,50.00,9,,1230083
05/28/2024 14:00,35,44.00,8,,1230083
05/28/2024 15:00,37,38.00,12,,1230083
05/28/2024 16:00,35,41.00,5,,1230083
05/28/2024 17:00,36,34.00,12,,1230083
05/28/2024 18:00,36,34.00,11,,1230083
